player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
patrickmahomes,QB,3,QB3,21.4,8000.0
danieljones,QB,10,QB10,18.7,5900.0
genosmith,QB,14,QB14,17.8,5700.0
zachwilson,QB,32,QB32,11.7,5000.0
blainegabbert,QB,38,QB38,0.0,4500.0
timboyle,QB,39,QB39,0.0,4000.0
kennethwalker,RB,7,RB7,16.1,6700.0
isiahpacheco,RB,27,RB27,11.8,5600.0
breecehall,RB,30,RB30,11.2,5500.0
mattbreida,RB,31,RB31,11.0,5400.0
jerickmckinnon,RB,42,RB42,7.4,4900.0
zachcharbonnet,RB,45,RB45,6.8,4500.0
dalvincook,RB,46,RB46,6.7,5300.0
clydeedwards-helaire,RB,52,RB52,5.8,4600.0
garybrightwell,RB,54,RB54,5.1,4800.0
michaelcarter,RB,62,RB62,3.2,4100.0
deejaydallas,RB,70,RB70,2.3,4000.0
ericgray,RB,88,RB88,0.8,4000.0
saquonbarkley,RB,100,RB100,0.4,8000.0
nickbawden,RB,112,RB112,0.3,4000.0
dkmetcalf,WR,14,WR14,15.5,7100.0
tylerlockett,WR,19,WR19,14.3,6500.0
garrettwilson,WR,31,WR31,13.0,6700.0
dariusslayton,WR,58,WR58,8.7,4000.0
skyymoore,WR,60,WR60,8.3,5000.0
jaxonsmith-njigba,WR,61,WR61,8.2,4100.0
rasheerice,WR,66,WR66,7.6,3700.0
isaiahhodgins,WR,73,WR73,6.7,4800.0
marquezvaldes-scantling,WR,74,WR74,6.6,4200.0
allenlazard,WR,75,WR75,6.6,4400.0
kadariustoney,WR,76,WR76,6.6,4700.0
parriscampbell,WR,83,WR83,6.4,3300.0
justinwatson,WR,85,WR85,6.2,3600.0
wan'dalerobinson,WR,87,WR87,6.0,3100.0
jalinhyatt,WR,88,WR88,5.8,3500.0
randallcobb,WR,100,WR100,4.1,3200.0
justynross,WR,103,WR103,3.6,3000.0
jakebobo,WR,111,WR111,2.6,3000.0
mecolehardmanjr.,WR,116,WR116,2.1,3100.0
sterlingshepard,WR,131,WR131,0.9,3000.0
lawrencecager,WR,159,WR159,0.2,2500.0
xaviergipson,WR,161,WR161,0.0,3000.0
traviskelce,TE,1,TE1,16.6,7400.0
darrenwaller,TE,4,TE4,11.5,5500.0
tylerconklin,TE,29,TE29,6.0,3600.0
noahfant,TE,30,TE30,5.3,2900.0
colbyparkinson,TE,38,TE38,3.4,2500.0
noahgray,TE,39,TE39,3.4,2800.0
willdissly,TE,46,TE46,2.6,2800.0
danielbellinger,TE,50,TE50,2.0,2500.0
c.j.uzomah,TE,56,TE56,1.7,2500.0
blakebell,TE,79,TE79,0.7,2500.0
jeremyruckert,TE,90,TE90,0.3,2500.0
bradyrussell,TE,103,TE103,0.0,2500.0
chiefs,DST,3,DST3,7.6,4000.0
seahawks,DST,12,DST12,6.5,3000.0
jets,DST,25,DST25,5.5,2600.0
giants,DST,30,DST30,5.0,3100.0
